"filename", "language", "C#", "XML", "JSON", "comment", "blank", "total"
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\Services\INotificationServices.cs", "C#", 9, 0, 0, 0, 2, 11
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\Services\IOTApplicationServices.cs", "C#", 14, 0, 0, 0, 2, 16
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\Services\IPayrollServices.cs", "C#", 12, 0, 0, 1, 2, 15
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\Services\IShiftServices.cs", "C#", 9, 0, 0, 0, 2, 11
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\Services\ISupervisorServices.cs", "C#", 8, 0, 0, 0, 3, 11
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\Services\IUserAccountServices.cs", "C#", 13, 0, 0, 0, 2, 15
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\Services\IUserNotificationServices.cs", "C#", 8, 0, 0, 0, 2, 10
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\Services\IUserSettingsServices.cs", "C#", 10, 0, 0, 0, 2, 12
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\SignalR\IMessageHub.cs", "C#", 13, 0, 0, 0, 1, 14
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\SignalR\IMessageHubClient.cs", "C#", 11, 0, 0, 9, 1, 21
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\SignalR\INotificationHub.cs", "C#", 9, 0, 0, 1, 3, 13
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Interface\SignalR\INotificationHubClient.cs", "C#", 9, 0, 0, 0, 3, 12
