"filename", "language", "JSON", "XML", "C#", "Markdown", "comment", "blank", "total"
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Exceptions\CustomException.cs", "C#", 0, 0, 27, 0, 0, 4, 31
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Exceptions\ModelSchemaException.cs", "C#", 0, 0, 4, 0, 0, 2, 6
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Exceptions\TransactionException.cs", "C#", 0, 0, 2, 0, 0, 1, 3
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Extensions\AuthExtensions.cs", "C#", 0, 0, 32, 0, 2, 4, 38
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Extensions\ConfigurationExtensions.cs", "C#", 0, 0, 18, 0, 3, 4, 25
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Extensions\DatabaseExtensions.cs", "C#", 0, 0, 11, 0, 3, 3, 17
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Extensions\ServiceExtensionsDI.cs", "C#", 0, 0, 86, 0, 7, 10, 103
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Features\Ongoing\BusinessLogic\ArchiveService.cs", "C#", 0, 0, 5, 0, 26, 3, 34
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Features\Ongoing\Controllers\AccountController.cs", "C#", 0, 0, 0, 0, 40, 1, 41
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Features\Ongoing\Extensions\RedisExensions.cs", "C#", 0, 0, 7, 0, 0, 2, 9
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Features\Ongoing\Models\ArchivedUser.cs", "C#", 0, 0, 7, 0, 0, 2, 9
